Datum	Thema	ThemaLink	Bereich	Datenstand
09.07.2019	Arbeit und Erwerb	https://www.statistik.bs.ch/zahlen/tabellen/3-erwerbsleben/arbeitslose.html	Arbeitslosigkeit	Jun 2019
04.07.2019	Teuerung, Preise	https://www.statistik.bs.ch/zahlen/tabellen/5-preise.html	Basler Index	Juni 2019
04.07.2019	Raum, Landschaft, Umwelt	https://www.statistik.bs.ch/dam/jcr:cae71f80-7874-4512-911c-371b1fc1e061/t02-4-02.xlsx	Monatlicher Wasserverbrauch	Mai 2019
02.07.2019	Verkehr, Mobilität	https://www.statistik.bs.ch/zahlen/tabellen/11-verkehr-mobilitaet.html	Motorfahrzeuge	Mai 2019
02.07.2019	Bevölkerung	https://www.statistik.bs.ch/zahlen/tabellen/1-bevoelkerung/geburten-todesfaelle.html	Todesfälle	2018
01.07.2019	Raum, Landschaft, Umwelt	https://www.statistik.bs.ch/zahlen/tabellen/2-raum-landschaft-umwelt.html	Witterungsdaten	Juni 2019
01.07.2019	Gesundheit	https://www.statistik.bs.ch/zahlen/tabellen/14-gesundheit/sterblichkeit.html	Sterblichkeit	2018
27.06.2019	Finanzmärkte und Banken	https://www.statistik.bs.ch/zahlen/tabellen/12-finanzmaerkte-banken.html	Geschäftsstellen	2018
25.06.2019	Raum, Landschaft, Umwelt	https://www.statistik.bs.ch/dam/jcr:5bf3b838-ece6-4680-a6c7-a6553b4e87b2/t02-6-01.xlsx	Entsorgung	2018
25.06.2019	Aussenhandel	https://www.statistik.bs.ch/zahlen/tabellen/6-produktion-handel/aussenhandel.html	Export und Import	Mai 2019
24.06.2019	Bevölkerung	https://www.statistik.bs.ch/zahlen/tabellen/1-bevoelkerung/bestand-struktur.html	Bestand und Struktur	Mai 2019
20.06.2019	Bildung, Wissenschaft	https://www.statistik.bs.ch/zahlen/tabellen/15-bildung-wissenschaft/berufsfachschulen.html	Berufsfachschulen	2018
12.06.2019	Bildung, Wissenschaft	https://www.statistik.bs.ch/zahlen/tabellen/15-bildung-wissenschaft/hochschulen.html	Universität Basel	FS 2019
